,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_col_transformer__Direction,param_col_transformer__Speed,param_model,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
65,0.0007825851440429688,0.00039295549889195884,0.0,0.0,CompassToCartesianTransformer(),PolynomialFeatures(),"(RandomForestRegressor(), {'random_forest__n_estimators': [50, 100, 200], 'random_forest__max_depth': [5, 10, 20]})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': PolynomialFeatures(), 'model': (RandomForestRegressor(), {'random_forest__n_estimators': [50, 100, 200], 'random_forest__max_depth': [5, 10, 20]})}",,,,,,,,10
66,0.00039997100830078123,0.000489862649992856,0.0,0.0,CompassToCartesianTransformer(),PolynomialFeatures(),"(GradientBoostingRegressor(), {'gradient_boosting__n_estimators': [50, 100, 200], 'gradient_boosting__learning_rate': [0.01, 0.1, 1], 'gradient_boosting__max_depth': [5, 10, 20]})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': PolynomialFeatures(), 'model': (GradientBoostingRegressor(), {'gradient_boosting__n_estimators': [50, 100, 200], 'gradient_boosting__learning_rate': [0.01, 0.1, 1], 'gradient_boosting__max_depth': [5, 10, 20]})}",,,,,,,,10
67,0.0004052639007568359,0.0004963661907514732,0.0,0.0,CompassToCartesianTransformer(),PolynomialFeatures(),"(KNeighborsRegressor(), {'knn__n_neighbors': [5, 10, 20]})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': PolynomialFeatures(), 'model': (KNeighborsRegressor(), {'knn__n_neighbors': [5, 10, 20]})}",,,,,,,,10
68,0.0005996227264404297,0.0004895946507516919,0.0,0.0,CompassToCartesianTransformer(),PolynomialFeatures(),"(SVR(), {'svr__C': [0.1, 1, 10], 'svr__gamma': ['scale', 'auto']})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': PolynomialFeatures(), 'model': (SVR(), {'svr__C': [0.1, 1, 10], 'svr__gamma': ['scale', 'auto']})}",,,,,,,,10
69,0.0005985736846923828,0.0004887546353101954,0.0,0.0,CompassToCartesianTransformer(),PolynomialFeatures(),"(MLPRegressor(), {'mlp__hidden_layer_sizes': [(50,), (100,), (50, 50)], 'mlp__activation': ['relu', 'tanh', 'logistic'], 'mlp__alpha': [0.0001, 0.001, 0.01], 'mlp__learning_rate': ['constant', 'invscaling', 'adaptive']})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': PolynomialFeatures(), 'model': (MLPRegressor(), {'mlp__hidden_layer_sizes': [(50,), (100,), (50, 50)], 'mlp__activation': ['relu', 'tanh', 'logistic'], 'mlp__alpha': [0.0001, 0.001, 0.01], 'mlp__learning_rate': ['constant', 'invscaling', 'adaptive']})}",,,,,,,,10
70,0.007999181747436523,0.0010948125805033701,0.0036018848419189452,0.0004912516231468602,CompassToCartesianTransformer(),EmpiricalWaveletTransform(log=True),LinearRegression(),"{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': EmpiricalWaveletTransform(log=True), 'model': LinearRegression()}",-55.784592406773676,-86.58504626355521,-73.90921513670975,-46.28250997103724,-54.49865892208102,-63.412004540031376,14.684863112579528,6
71,0.001005077362060547,1.4777028894492369e-05,0.0,0.0,CompassToCartesianTransformer(),EmpiricalWaveletTransform(log=True),"(Ridge(), {'ridge__alpha': [0.1, 1, 10]})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': EmpiricalWaveletTransform(log=True), 'model': (Ridge(), {'ridge__alpha': [0.1, 1, 10]})}",,,,,,,,10
72,0.00039920806884765627,0.0004889282442096391,0.0,0.0,CompassToCartesianTransformer(),EmpiricalWaveletTransform(log=True),"(Lasso(), {'lasso__alpha': [0.1, 1, 10]})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': EmpiricalWaveletTransform(log=True), 'model': (Lasso(), {'lasso__alpha': [0.1, 1, 10]})}",,,,,,,,10
73,0.00039997100830078123,0.0004898624411217046,0.0,0.0,CompassToCartesianTransformer(),EmpiricalWaveletTransform(log=True),"(ElasticNet(), {'elastic_net__alpha': [0.1, 1, 10], 'elastic_net__l1_ratio': [0.25, 0.5, 0.75]})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': EmpiricalWaveletTransform(log=True), 'model': (ElasticNet(), {'elastic_net__alpha': [0.1, 1, 10], 'elastic_net__l1_ratio': [0.25, 0.5, 0.75]})}",,,,,,,,10
74,0.0008000850677490235,0.00040010162261902576,0.0,0.0,CompassToCartesianTransformer(),EmpiricalWaveletTransform(log=True),"(DecisionTreeRegressor(), {'decision_tree__max_depth': [5, 10, 20]})","{'col_transformer__Direction': CompassToCartesianTransformer(), 'col_transformer__Speed': EmpiricalWaveletTransform(log=True), 'model': (DecisionTreeRegressor(), {'decision_tree__max_depth': [5, 10, 20]})}",,,,,,,,10
